Timeslot,NumberOfJourneys
slot_1,0.0
slot_2,0.0
slot_3,0.20634920634920634
slot_4,14.341269841269842
slot_5,87.15079365079364
slot_6,290.3492063492063
slot_7,291.5952380952381
slot_8,578.1507936507936
slot_9,1335.2301587301586
slot_10,2604.9126984126983
slot_11,3632.563492063492
slot_12,4717.841269841269
slot_13,6565.761904761905
slot_14,8686.436507936507
slot_15,8767.373015873016
slot_16,10301.86507936508
slot_17,13215.444444444443
slot_18,17605.142857142855
slot_19,16536.349206349205
slot_20,12019.134920634922
slot_21,10006.166666666666
slot_22,8346.690476190477
slot_23,5914.992063492064
slot_24,3976.5317460317456
slot_25,3788.976190476191
slot_26,4153.52380952381
slot_27,3566.3809523809523
slot_28,3232.476190476191
slot_29,3461.7857142857147
slot_30,3983.912698412699
slot_31,3872.9206349206343
slot_32,3983.436507936508
slot_33,4225.571428571429
slot_34,4514.380952380952
slot_35,4290.428571428572
slot_36,4136.619047619048
slot_37,4348.055555555556
slot_38,4643.031746031746
slot_39,4313.214285714286
slot_40,4276.793650793651
slot_41,4571.293650793651
slot_42,4926.0
slot_43,4820.357142857143
slot_44,5060.833333333334
slot_45,5689.047619047619
slot_46,6205.507936507936
slot_47,6162.563492063491
slot_48,6760.571428571428
slot_49,7829.5873015873
slot_50,8557.690476190475
slot_51,8776.166666666666
slot_52,10238.428571428572
slot_53,12964.103174603173
slot_54,14999.730158730159
slot_55,15769.42857142857
slot_56,15942.317460317461
slot_57,16065.404761904761
slot_58,14751.07142857143
slot_59,12066.785714285714
slot_60,9379.404761904763
slot_61,7953.0952380952385
slot_62,6303.6984126984125
slot_63,4891.47619047619
slot_64,3977.436507936508
slot_65,3589.968253968254
slot_66,3132.8015873015875
slot_67,2720.5317460317456
slot_68,2499.4523809523807
slot_69,2518.7539682539687
slot_70,2366.515873015873
slot_71,2351.873015873016
slot_72,2578.7380952380954
slot_73,2916.1111111111113
slot_74,3013.1507936507933
slot_75,2590.563492063492
slot_76,2211.3650793650795
slot_77,2084.2380952380954
slot_78,1730.9920634920636
slot_79,1275.4206349206347
slot_80,1022.3412698412699
slot_81,980.8571428571429
slot_82,824.7142857142858
slot_83,398.5238095238095
slot_84,170.37301587301587
slot_85,100.10317460317461
slot_86,86.11904761904762
